id,updated_report,confirmed,deaths,recovered,latitude,longitude,country_region,admin_region_1
5305314,4/14/2020,3,0,,37.82135,-107.3002,United States,Colorado
5030097,4/12/2020,3,0,,46.02262,-121.9151,United States,Washington
61890505,9/9/2020,10,0,,40.66642,-106.3427,United States,Colorado
125088848,4/5/2021,54,0,,42.8788,-99.7125,United States,Nebraska
1279299,3/26/2020,6,0,,37.9388,-118.8865,United States,California
7949649,4/30/2020,2,0,,39.78589,-101.7311,United States,Kansas
13138924,5/11/2020,1,0,,63.67347,-150.0089,United States,Alaska
5562896,4/22/2020,5,0,,30.49646,-82.94802,United States,Florida
133548094,5/9/2021,82,0,,41.56654,-100.4828,United States,Nebraska
3055359,4/3/2020,18,0,,38.23682,-95.73411,United States,Kansas
3726358,4/5/2020,1,0,,39.16931,-90.66752,United States,Illinois
123610296,3/19/2021,378,22,,33.17988,-101.2984,United States,Texas
2189000,3/31/2020,2,0,,37.66887,-106.9241,United States,Colorado
4675233,4/9/2020,1,0,,29.7472,-99.24627,United States,Texas
13138945,5/11/2020,1,0,,69.32729,-153.4129,United States,Alaska
3928007,4/6/2020,1,0,,38.95383,-96.20518,United States,Kansas
4702369,4/9/2020,3,0,,37.75314,-88.54076,United States,Illinois
9853931,5/4/2020,1,0,,34.34241,-104.412,United States,New Mexico
5439363,4/17/2020,1,0,,37.55926,-95.7434,United States,Kansas
3055365,4/3/2020,1,0,,37.69171,-99.88799,United States,Kansas
6945432,4/25/2020,3,0,,39.27333,-88.24017,United States,Illinois
6594057,4/23/2020,1,0,,35.85788,-103.82,United States,New Mexico
3062944,4/3/2020,1,0,,39.97976,-108.2173,United States,Colorado
4702385,4/9/2020,7,0,,31.86955,-85.39315,United States,Alabama
1000263,3/25/2020,3,0,,41.59264,-122.5404,United States,California
342284,3/21/2020,1,0,,44.4914,-119.0074,United States,Oregon
17043187,5/20/2020,2,0,,37.76398,-107.6761,United States,Colorado
19397,3/18/2020,1,0,,33.77138,-85.82611,United States,Alabama
45291826,7/19/2020,8,0,,40.87593,-102.3517,United States,Colorado
5466596,4/20/2020,1,0,,37.56227,-100.8712,United States,Kansas
5301252,4/14/2020,2,0,,37.76271,-88.23048,United States,Illinois
2294712,3/31/2020,1,0,,38.02765,-119.9547,United States,California
11767546,5/8/2020,1,0,,41.91361,-100.5558,United States,Nebraska
4313276,4/8/2020,1,0,,41.2198,-102.995,United States,Nebraska
5491447,4/21/2020,1,0,,37.51812,-88.26698,United States,Illinois
15325367,5/16/2020,8,0,,40.81856,-90.92539,United States,Illinois
5468629,4/20/2020,1,0,,48.77665,-96.78316,United States,Minnesota
2579395,4/1/2020,1,0,,36.61292,-82.16591,United States,Virginia
125237507,4/6/2021,39,0,,41.91476,-98.52814,United States,Nebraska
4007550,4/6/2020,1,0,,45.40536,-120.6894,United States,Oregon
2205072,3/31/2020,1,0,,43.46304,-114.8053,United States,Idaho
6894586,4/24/2020,5,0,,39.51497,-92.96258,United States,Missouri
1363202,3/26/2020,1,0,,48.47002,-118.5165,United States,Washington
28526269,6/11/2020,2,0,,38.59733,-119.8204,United States,California
2203153,3/31/2020,2,0,,44.24129,-114.2817,United States,Idaho
342307,3/21/2020,0,0,,44.7261,-120.0275,United States,Oregon
1334689,3/27/2020,1,0,,39.79774,-92.07658,United States,Missouri
1939081,3/30/2020,3,0,,37.27808,-105.4282,United States,Colorado
5312245,4/15/2020,1,0,,41.3976,-84.99908,United States,Indiana
11769391,5/8/2020,1,0,,30.48679,-99.74854,United States,Texas
3948349,4/6/2020,1,0,,47.01609,-89.46171,United States,Michigan
2297987,3/31/2020,2,0,,39.59828,-122.3924,United States,California
1937012,3/30/2020,1,0,,34.35411,-83.49743,United States,Georgia
49172861,7/31/2020,4,0,,39.35033,-98.76804,United States,Kansas
311391,3/21/2020,2,0,,34.90113,-87.65405,United States,Alabama
128136389,4/18/2021,220,0,,40.17651,-99.40467,United States,Nebraska
8468131,5/1/2020,1,0,,40.1763,-101.0423,United States,Nebraska
30291702,6/15/2020,1,0,,37.88572,-95.30141,United States,Kansas
3052170,4/3/2020,1,0,,39.53175,-95.31346,United States,Kansas
52685396,8/11/2020,30,0,,48.56357,-122.9779,United States,Washington
5350344,4/15/2020,3,0,,37.82135,-107.3002,United States,Colorado
5137813,4/13/2020,3,0,,46.02262,-121.9151,United States,Washington
61953573,9/10/2020,10,0,,40.66642,-106.3427,United States,Colorado
125237490,4/6/2021,54,0,,42.8788,-99.7125,United States,Nebraska
81091290,11/1/2020,6,0,,38.43266,-102.7403,United States,Colorado
8447842,5/1/2020,2,0,,39.78589,-101.7311,United States,Kansas
13599453,5/12/2020,1,0,,63.67347,-150.0089,United States,Alaska
2759333,4/2/2020,5,0,,34.90369,-85.13821,United States,Georgia
133781161,5/10/2021,82,0,,41.56654,-100.4828,United States,Nebraska
3927965,4/6/2020,29,0,,38.23682,-95.73411,United States,Kansas
4009254,4/6/2020,1,0,,39.16931,-90.66752,United States,Illinois
123728210,3/20/2021,378,22,,33.17988,-101.2984,United States,Texas
2463205,4/1/2020,2,0,,37.66887,-106.9241,United States,Colorado
2988201,4/2/2020,1,0,,28.65706,-97.42642,United States,Texas
13599467,5/12/2020,1,0,,69.32729,-153.4129,United States,Alaska
4477819,4/8/2020,1,0,,38.95383,-96.20518,United States,Kansas
4880200,4/10/2020,3,0,,37.75314,-88.54076,United States,Illinois
